model,task_id,rollout_id,step,group_id,candidate_id,domain,invalid_outputs,invalid_provenance,rollout_invalid_outputs,stage,group_position,gold_count,unique_gold_A,completion_length,raw_n,grounded_n,coverage,s_cot,s_explore,dsr_branch,primary_reward,closed,raw_invalid_text
dsr,dsr:8:2:0,8,14,3baf4e2bd66a078acfd02069635a7b0d09b8563a43d6f45285a80a90fd89f65d,0,prod,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:8:2:1,8,14,3baf4e2bd66a078acfd02069635a7b0d09b8563a43d6f45285a80a90fd89f65d,1,prod,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:8:2:2,8,14,3baf4e2bd66a078acfd02069635a7b0d09b8563a43d6f45285a80a90fd89f65d,2,prod,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:8:2:3,8,14,3baf4e2bd66a078acfd02069635a7b0d09b8563a43d6f45285a80a90fd89f65d,3,prod,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:8:3:0,8,14,91222818a1da2fe8a47421933d22debe4b2f1f314245e2250401666386d5c8f2,0,video,,unavailable:not_persisted_per_task,0,0-50,3,20,16,,,,,,,,,,
dsr,dsr:8:3:1,8,14,91222818a1da2fe8a47421933d22debe4b2f1f314245e2250401666386d5c8f2,1,video,,unavailable:not_persisted_per_task,0,0-50,3,20,16,,,,,,,,,,
dsr,dsr:8:3:2,8,14,91222818a1da2fe8a47421933d22debe4b2f1f314245e2250401666386d5c8f2,2,video,,unavailable:not_persisted_per_task,0,0-50,3,20,16,,,,,,,,,,
dsr,dsr:8:3:3,8,14,91222818a1da2fe8a47421933d22debe4b2f1f314245e2250401666386d5c8f2,3,video,,unavailable:not_persisted_per_task,0,0-50,3,20,16,,,,,,,,,,
dsr,dsr:13:0:0,13,24,f21147ce011ded372ed23ff948c8c9febbcf04908ad9980bf7326a7a79b4d75a,0,ad,,unavailable:not_persisted_per_task,1,0-50,0,2,2,,3,3,1.0,1.0,0.3849413840710931,,,,
dsr,dsr:13:0:1,13,24,f21147ce011ded372ed23ff948c8c9febbcf04908ad9980bf7326a7a79b4d75a,1,ad,,unavailable:not_persisted_per_task,1,0-50,0,2,2,,3,2,0.6666666666666666,1.0,0.41299865898701305,,,,
