group_id,step,domain,gold_count,unique_gold_A,baseline_A_concentration,dsr_A_concentration,baseline_Gold_A_hit,dsr_Gold_A_hit,rescue_active,classification,stage,gold_count_bin,unique_gold_A_bin,baseline_zero_std,baseline_all_zero,baseline_Gold_AB_hit,baseline_Exact_hit,baseline_reward_mean,dsr_zero_std,dsr_all_zero,dsr_Gold_AB_hit,dsr_Exact_hit,dsr_reward_mean,lambda_A,K_A_concentration,frequency_weights,coefficient,matched_direct_provenance,baseline_rollout_reward_mean,dsr_rollout_reward_mean
692ee70e3d40a0ad80f7de5c3f8d952d124436bbb2670650253c5c2c7ec06ba6,52,video,20,17,,0.25,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.25,"[0.25,0.125,0.125,0.125,0.125,0.125,0.25,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.078125,0.0
c99520fb0adeb26bb7ce03058378bcd8ae48e7a91a0ad1cab5cda5c2d6ca2892,54,video,14,13,,0.25,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.125,0.125,0.25,0.25,0.125,0.25,0.25]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.078125,0.140625
a55246db8669642cf82a1120a55a6c75322cae3d270ff741e38e008daa00e66f,54,ad,2,2,,0.125,,,False,,50-100,1-2,2,,,,,,,,,,,0.1,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.078125,0.140625
df50c73a722cb3468599aec7a089f55d6ceed818434b1e75b53d048825bbfc2d,56,prod,2,2,,0.25,,,False,,50-100,1-2,2,,,,,,,,,,,0.1,0.25,"[0.125,0.25,0.25,0.125,0.25,0.25,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.0,-0.078125
aa3eae300742dbbbff0e43690309f5dd9083bdfbfbcd21a7e19879a4d1789002,56,video,12,12,,0.25,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.25,0.125,0.125,0.125,0.25,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.0,-0.078125
f5549a85bdea0ba7467c2eb6e3a385ba121bced86724006d04f03f02b8f055d9,58,ad,2,2,,0.125,,,False,,50-100,1-2,2,,,,,,,,,,,0.1,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.078125,0.125
c4ea09d4400aea93378a91d8674ef0f4061c9ac68593a6f65230aa829ded8fa8,58,ad,2,2,,0.5,,,False,,50-100,1-2,2,,,,,,,,,,,0.1,0.5,"[0.5,0.5,0.5,0.125,0.125,0.125,0.125,0.5]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.078125,0.125
180d72cb9abef356ef18c23b0a117cc5e81213bbb2c43d6112fd2e6525d9d9b4,64,video,11,8,,0.25,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.765625,0.25
66561dcf95599497fea325b3378e368d0555780b44dafe9118631a7883033ad4,64,video,20,17,,0.25,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.125,0.25,0.125,0.125,0.125,0.25,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.765625,0.25
1f2d2de1c323f1863e8693af194090d64e964fb093192e949f5c3302b53ae11c,66,video,14,13,,0.125,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.15625,0.28125
ec56a1e8978080a6827d8d69ba6fbdc2636b69d38e3a3bdd206afd37b559fa58,66,video,14,14,,0.375,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.375,"[0.375,0.125,0.125,0.125,0.125,0.375,0.375,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.15625,0.28125
fb138440382f311d56bb73075de66e7af9e278fd1d14a7f74d8e3164e471251a,68,living,3,1,,0.375,,,False,,50-100,3-4,1,,,,,,,,,,,0.1,0.375,"[0.125,0.25,0.125,0.25,0.375,0.375,0.125,0.375]",0.0,unavailable:baseline_group_outputs_not_persisted,0.0,1.0625
410a19b84e6f4787289a2e5a4707c73e979950dcebf0e1429c1289520de282f0,68,video,14,11,,0.25,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.125,0.125,0.125,0.25,0.25,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.0,1.0625
