group_id,route,domain,gold_count,unique_gold_A,step,order,gold_count_bin,unique_gold_A_bin,stage,group_position,baseline_primary_reward_mean,baseline_primary_reward_std,baseline_zero_std,baseline_all_zero,baseline_Exact,baseline_AB,baseline_A,baseline_Beam_invalid,dsr_primary_reward_mean,dsr_primary_reward_std,dsr_zero_std,dsr_all_zero,dsr_Exact,dsr_AB,dsr_A,dsr_Beam_invalid,baseline_rollout_reward_mean,baseline_rollout_reward_std,baseline_rollout_zero_std_ratio,baseline_rollout_invalid_outputs,dsr_rollout_reward_mean,dsr_rollout_reward_std,dsr_rollout_zero_std_ratio,dsr_rollout_invalid_outputs,direct_group_provenance,Raw_N,Grounded_N,Coverage,Raw_Grounded_gap,D_cot,S_cot,S_prefix,S_explore,S_dead,S_aux,A_aux,DSR_branch,think_candidate_coverage_provenance,A_concentration,Gold_A_hit,Gold_AB_hit,Exact_hit,rescue_active,lambda_A,K_A_concentration,frequency_weights,rescue_coefficient
91222818a1da2fe8a47421933d22debe4b2f1f314245e2250401666386d5c8f2,think,video,20,16,14,8,5+,3+,0-50,3,,,,,,,,,,,,,,,,,0.328125,0.0895632952451706,0.5,0,1.28125,0.9916265606880188,0.5,0,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
f1bd212b32ec1e0144a7f62712c6f16c08df99284c0dee310314e0d548bd432c,no_think,prod,3,2,16,9,3-4,2,0-50,0,,,,,,,,,,,,,,,,,1.359375,1.9519996643066406,0.5,,-0.125,0.15721796452999115,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.5,,,,False,0.1,0.5,"[0.5,0.5,0.125,0.5,0.5,0.125,0.125,0.125]",0.0
b8eb62be9fc57a8c9a163c248120894d01491270f47ada7c41e25af7f9374d7c,no_think,video,15,11,16,9,5+,3+,0-50,1,,,,,,,,,,,,,,,,,1.359375,1.9519996643066406,0.5,,-0.125,0.15721796452999115,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.2,0.25,"[0.25,0.125,0.125,0.125,0.125,0.25,0.125,0.125]",0.0
2f8b9238c59badc96cd439911c7c42afd62e8cefa539853df2d36a549228d2b3,no_think,living,2,2,18,10,1-2,2,0-50,0,,,,,,,,,,,,,,,,,-0.140625,0.09546644985675812,0.0,,-0.09375,0.1791265904903412,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.125,,,,False,0.1,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0
2dc02a7c59eb8279b7caa10022e6a9ee7c30c8d851b632515315806e1655bd75,no_think,prod,2,1,18,10,1-2,1,0-50,1,,,,,,,,,,,,,,,,,-0.140625,0.09546644985675812,0.0,,-0.09375,0.1791265904903412,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.375,,,,False,0.1,0.375,"[0.125,0.375,0.375,0.125,0.125,0.125,0.375,0.125]",0.0
7b91df630c0a3b6d7232ae4564551cf7bc9db819af9738de06dcde9656fd2e2f,no_think,ad,2,2,20,11,1-2,2,0-50,0,,,,,,,,,,,,,,,,,0.015625,0.22289511561393738,0.0,,0.0,0.1993933916091919,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.1,0.25,"[0.25,0.125,0.125,0.25,0.25,0.125,0.125,0.25]",0.0
d93a68d31aa1ea6d12bc82e135e44340e9a1aaefd4cee134444746ecc9aee9ad,no_think,prod,2,1,20,11,1-2,1,0-50,1,,,,,,,,,,,,,,,,,0.015625,0.22289511561393738,0.0,,0.0,0.1993933916091919,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.1,0.25,"[0.125,0.125,0.125,0.25,0.25,0.125,0.125,0.125]",0.0
3baf4e2bd66a078acfd02069635a7b0d09b8563a43d6f45285a80a90fd89f65d,no_think,prod,2,2,22,12,1-2,2,0-50,0,,,,,,,,,,,,,,,,,-0.03125,0.05412658676505089,0.5,,-0.015625,0.04133986309170723,0.5,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.1,0.25,"[0.125,0.125,0.25,0.25,0.125,0.125,0.25,0.25]",0.0
91222818a1da2fe8a47421933d22debe4b2f1f314245e2250401666386d5c8f2,no_think,video,20,16,22,12,5+,3+,0-50,1,,,,,,,,,,,,,,,,,-0.03125,0.05412658676505089,0.5,,-0.015625,0.04133986309170723,0.5,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.375,,,,True,0.2,0.375,"[0.125,0.125,0.375,0.125,0.125,0.125,0.375,0.375]",0.07500000000000001
f21147ce011ded372ed23ff948c8c9febbcf04908ad9980bf7326a7a79b4d75a,think,ad,2,2,24,13,1-2,2,0-50,0,,,,,,,,,,,,,,,,,7.72119140625,1.281449556350708,0.25,0,6.623046875,0.4296875,0.75,1,unavailable:only_rollout_aggregate,3.0,2.5,0.8333333333333333,0.5,1.0,1.0,0.15287036554515482,0.39897002152905303,0.39897002152905303,0.4917222193270929,0.7788175912573934,,observed_directly:dsr_trace_first2,,,,,,,,,
