source,route,domain,gold_count,reward_pattern,rewards,current_adv,exact_floor_adv,exact_clamp_adv,current_abs_sum,floor_abs_sum,clamp_abs_sum
GR_REC_v1_probe,think,living,2,ALL_ZERO,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,nothink,living,2,A_ONLY,"[0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.3777360397241218,2.6441522780688524,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218]","[-0.0078125,0.0546875,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125]","[-0.0078125,0.0546875,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125]",5.288304556137704,0.109375,0.109375
GR_REC_v1_probe,think,prod,2,MIXED_HIGH,"[8.25,8.25,0.0,8.25]","[0.5773341080258594,0.5773341080258594,-1.7320023240775781,0.5773341080258594]","[0.2578125,0.2578125,-0.7734375,0.2578125]","[0.2578125,0.2578125,-0.7734375,0.2578125]",3.4640046481551563,1.546875,1.546875
GR_REC_v1_probe,nothink,prod,2,A_ONLY,"[0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5]","[-0.577083725634154,1.7312511769024619,-0.577083725634154,-0.577083725634154,-0.577083725634154,-0.577083725634154,-0.577083725634154,1.7312511769024619]","[-0.015625,0.046875,-0.015625,-0.015625,-0.015625,-0.015625,-0.015625,0.046875]","[-0.015625,0.046875,-0.015625,-0.015625,-0.015625,-0.015625,-0.015625,0.046875]",6.9250047076098475,0.1875,0.1875
GR_REC_v1_probe,think,ad,2,A_ONLY,"[0.0,0.0,0.5,0.5]","[-0.9996001599360256,-0.9996001599360256,0.9996001599360256,0.9996001599360256]","[-0.03125,-0.03125,0.03125,0.03125]","[-0.03125,-0.03125,0.03125,0.03125]",3.9984006397441023,0.125,0.125
GR_REC_v1_probe,nothink,ad,2,A_ONLY,"[0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0]","[-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,2.6441522780688524,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218]","[-0.0078125,-0.0078125,-0.0078125,-0.0078125,0.0546875,-0.0078125,-0.0078125,-0.0078125]","[-0.0078125,-0.0078125,-0.0078125,-0.0078125,0.0546875,-0.0078125,-0.0078125,-0.0078125]",5.288304556137704,0.109375,0.109375
GR_REC_v1_probe,think,video,20,MIXED_HIGH,"[8.375,8.375,8.375,9.125]","[-0.577172546136356,-0.577172546136356,-0.577172546136356,1.7315176384090682]","[0.046875,0.046875,0.046875,0.140625]","[0.0,0.0,0.0,0.0703125]",3.463035276818136,0.28125,0.0703125
GR_REC_v1_probe,nothink,video,20,AB_SIGNAL,"[2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0]","[2.5231099996704107,-0.22937363633367372,-0.22937363633367372,-0.22937363633367372,-0.22937363633367372,-0.22937363633367372,-0.22937363633367372,-1.1468681816683686]","[0.171875,-0.015625,-0.015625,-0.015625,-0.015625,-0.015625,-0.015625,-0.078125]","[0.171875,-0.015625,-0.015625,-0.015625,-0.015625,-0.015625,-0.015625,-0.078125]",5.0462199993408206,0.34375,0.34375
GR_REC_v1_probe,think,living,2,ALL_ZERO,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,nothink,living,2,ALL_ZERO,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,think,prod,2,MULTI_EXACT,"[8.0,0.0,8.0,8.0]","[0.5773336030040704,-1.7320008090122112,0.5773336030040704,0.5773336030040704]","[0.25,-0.75,0.25,0.25]","[0.25,-0.75,0.25,0.25]",3.464001618024423,1.5,1.5
